sensitivity sweep, 40-run baseline, 12 runs injected:
inject     exit      shift          p       effect
    1%        0          -          -         - sd
    2%        0      +2.8%     0.0050       1.3 sd
    3%        0      +3.9%     0.0010       1.8 sd
    4%        0      +4.9%     0.0010       2.3 sd
    5%        0      +5.9%     0.0010       2.8 sd
    6%        6      +6.9%     0.0010       3.2 sd
    7%        6      +7.9%     0.0010       3.7 sd
    8%        6      +8.9%     0.0010       4.2 sd
   10%        6     +10.9%     0.0010       5.1 sd
   15%        6     +15.9%     0.0010       7.5 sd
   20%        6     +21.0%     0.0010       9.8 sd
   30%        6     +31.1%     0.0010      14.0 sd
